2023-11-18 02:54:46,532 INFO    MainThread:3472513 [wandb_setup.py:_flush():76] Current SDK version is 0.15.12
2023-11-18 02:54:46,533 INFO    MainThread:3472513 [wandb_setup.py:_flush():76] Configure stats pid to 3472513
2023-11-18 02:54:46,533 INFO    MainThread:3472513 [wandb_setup.py:_flush():76] Loading settings from /u/mchardonnet/.config/wandb/settings
2023-11-18 02:54:46,533 INFO    MainThread:3472513 [wandb_setup.py:_flush():76] Loading settings from /scratch/userdata/mchardonnet/Probabilistic_forecasting_for_Anomaly_Detection/src/wandb/settings
2023-11-18 02:54:46,533 INFO    MainThread:3472513 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-11-18 02:54:46,533 WARNING MainThread:3472513 [wandb_setup.py:_flush():76] Could not find program at -m joblib.externals.loky.backend.popen_loky_posix
2023-11-18 02:54:46,533 INFO    MainThread:3472513 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': None, 'program': '-m joblib.externals.loky.backend.popen_loky_posix'}
2023-11-18 02:54:46,533 INFO    MainThread:3472513 [wandb_init.py:_log_setup():528] Logging user logs to /scratch/userdata/mchardonnet/Probabilistic_forecasting_for_Anomaly_Detection/src/wandb/run-20231118_025446-0lbb3x56/logs/debug.log
2023-11-18 02:54:46,533 INFO    MainThread:3472513 [wandb_init.py:_log_setup():529] Logging internal logs to /scratch/userdata/mchardonnet/Probabilistic_forecasting_for_Anomaly_Detection/src/wandb/run-20231118_025446-0lbb3x56/logs/debug-internal.log
2023-11-18 02:54:46,533 INFO    MainThread:3472513 [wandb_init.py:init():568] calling init triggers
2023-11-18 02:54:46,533 INFO    MainThread:3472513 [wandb_init.py:init():576] wandb.init called with sweep_config: {}
config: {'input_size': 106, 'epochs': 3000, 'hidden_size': 200, 'output_size': 98, 'bias': True, 'ode_nn': [[500, 'tanh'], [500, 'tanh']], 'readout_nn': [[500, 'tanh'], [500, 'tanh']], 'enc_nn': [[500, 'tanh'], [500, 'tanh']], 'use_rnn': False, 'zero_weight_init': True, 'dropout_rate': 0.1, 'batch_size': 30, 'solver': 'euler', 'dataset': 'microbial_genus', 'dataset_id': 'all', 'learning_rate': 0.001, 'test_size': 0.2, 'seed': 398, 'weight': 0.5, 'weight_evolve': None, 't_period': 1.0, 'delta_t': 0.00625, 'output_vars': ['id'], 'input_vars': ['id'], 'options': {'add_dynamic_cov': True, 'add_pred': [], 'add_readout_activation': ['sum2one', ['id']], 'enc_input_t': False, 'eval_metrics': ['exp', 'std'], 'evaluate': False, 'func_appl_X': [], 'input_current_t': True, 'input_sig': True, 'periodic_current_t': True, 'plot_moments': False, 'plot_variance': False, 'pre-train': 1, 'scale_dt': 1.0, 'solver_delta_t_factor': 0.14285714285714285, 'std_factor': 1.96, 'test': False, 'use_cond_exp': True, 'which_loss': 'easy', 'which_val_loss': 'standard', 'zero_weight_init': True, 'resume_training': False, 'parallel': True}}
2023-11-18 02:54:46,533 INFO    MainThread:3472513 [wandb_init.py:init():618] starting backend
2023-11-18 02:54:46,533 INFO    MainThread:3472513 [wandb_init.py:init():622] setting up manager
2023-11-18 02:54:46,535 INFO    MainThread:3472513 [backend.py:_multiprocessing_setup():107] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-11-18 02:54:46,535 INFO    MainThread:3472513 [wandb_init.py:init():628] backend started and connected
2023-11-18 02:54:46,540 INFO    MainThread:3472513 [wandb_init.py:init():720] updated telemetry
2023-11-18 02:54:46,761 INFO    MainThread:3472513 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2023-11-18 02:54:47,709 INFO    MainThread:3472513 [wandb_run.py:_on_init():2220] communicating current version
2023-11-18 02:54:47,800 INFO    MainThread:3472513 [wandb_run.py:_on_init():2229] got version response upgrade_message: "wandb version 0.16.0 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-11-18 02:54:47,800 INFO    MainThread:3472513 [wandb_init.py:init():804] starting run threads in backend
2023-11-18 02:54:49,557 INFO    MainThread:3472513 [wandb_run.py:_console_start():2199] atexit reg
2023-11-18 02:54:49,557 INFO    MainThread:3472513 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-11-18 02:54:49,557 INFO    MainThread:3472513 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-11-18 02:54:49,557 INFO    MainThread:3472513 [wandb_run.py:_redirect():2144] Redirects installed.
2023-11-18 02:54:49,559 INFO    MainThread:3472513 [wandb_init.py:init():845] run started, returning control to user process
2023-11-19 07:40:51,630 INFO    MainThread:3472513 [wandb_run.py:_finish():1934] finishing run microbiome_anomaly_detection/pdnjode_forecasting/0lbb3x56
2023-11-19 07:40:51,630 INFO    MainThread:3472513 [wandb_run.py:_atexit_cleanup():2168] got exitcode: 0
2023-11-19 07:40:51,630 INFO    MainThread:3472513 [wandb_run.py:_restore():2151] restore
2023-11-19 07:40:51,630 INFO    MainThread:3472513 [wandb_run.py:_restore():2157] restore done
2023-11-19 07:40:56,648 INFO    MainThread:3472513 [wandb_run.py:_footer_history_summary_info():3599] rendering history
2023-11-19 07:40:56,650 INFO    MainThread:3472513 [wandb_run.py:_footer_history_summary_info():3631] rendering summary
2023-11-19 07:40:56,658 INFO    MainThread:3472513 [wandb_run.py:_footer_sync_info():3558] logging synced files
